Iter 430: Train loss 0.71723089, Learning Rate 1.000e-05, It/sec 3.913, Tokens/sec 129.140, Trained Tokens 14190, Peak mem 3.481 GB
Iter 440: Train loss 0.71706009, Learning Rate 1.000e-05, It/sec 3.573, Tokens/sec 117.908, Trained Tokens 14520, Peak mem 3.481 GB
Iter 450: Train loss 0.71678348, Learning Rate 1.000e-05, It/sec 3.966, Tokens/sec 130.878, Trained Tokens 14850, Peak mem 3.481 GB
Iter 460: Train loss 0.71649990, Learning Rate 1.000e-05, It/sec 3.444, Tokens/sec 113.662, Trained Tokens 15180, Peak mem 3.481 GB
Iter 470: Train loss 0.71613717, Learning Rate 1.000e-05, It/sec 3.778, Tokens/sec 124.682, Trained Tokens 15510, Peak mem 3.481 GB
Iter 480: Train loss 0.71597819, Learning Rate 1.000e-05, It/sec 3.942, Tokens/sec 130.098, Trained Tokens 15840, Peak mem 3.481 GB
Iter 490: Train loss 0.71567416, Learning Rate 1.000e-05, It/sec 3.913, Tokens/sec 129.117, Trained Tokens 16170, Peak mem 3.481 GB
Iter 500: Train loss 0.71550035, Learning Rate 1.000e-05, It/sec 3.888, Tokens/sec 128.309, Trained Tokens 16500, Peak mem 3.481 GB
Iter 510: Train loss 0.71523194, Learning Rate 1.000e-05, It/sec 3.719, Tokens/sec 122.714, Trained Tokens 16830, Peak mem 3.481 GB
Iter 520: Train loss 0.71500525, Learning Rate 1.000e-05, It/sec 3.613, Tokens/sec 119.240, Trained Tokens 17160, Peak mem 3.481 GB
Iter 530: Train loss 0.71472006, Learning Rate 1.000e-05, It/sec 4.052, Tokens/sec 133.702, Trained Tokens 17490, Peak mem 3.481 GB
Iter 540: Train loss 0.71459141, Learning Rate 1.000e-05, It/sec 3.716, Tokens/sec 122.612, Trained Tokens 17820, Peak mem 3.481 GB
Iter 550: Train loss 0.71447926, Learning Rate 1.000e-05, It/sec 3.928, Tokens/sec 129.615, Trained Tokens 18150, Peak mem 3.481 GB
Iter 560: Train loss 0.71428652, Learning Rate 1.000e-05, It/sec 3.886, Tokens/sec 128.237, Trained Tokens 18480, Peak mem 3.481 GB
Iter 570: Train loss 0.71409678, Learning Rate 1.000e-05, It/sec 3.753, Tokens/sec 123.847, Trained Tokens 18810, Peak mem 3.481 GB
Iter 580: Train loss 0.71390405, Learning Rate 1.000e-05, It/sec 4.001, Tokens/sec 132.022, Trained Tokens 19140, Peak mem 3.481 GB
Iter 590: Train loss 0.71368027, Learning Rate 1.000e-05, It/sec 4.105, Tokens/sec 135.471, Trained Tokens 19470, Peak mem 3.481 GB
Iter 600: Train loss 0.71352453, Learning Rate 1.000e-05, It/sec 3.811, Tokens/sec 125.762, Trained Tokens 19800, Peak mem 3.481 GB
Iter 610: Train loss 0.71339445, Learning Rate 1.000e-05, It/sec 3.752, Tokens/sec 123.819, Trained Tokens 20130, Peak mem 3.481 GB
Iter 620: Train loss 0.71328888, Learning Rate 1.000e-05, It/sec 4.023, Tokens/sec 132.748, Trained Tokens 20460, Peak mem 3.481 GB
Iter 630: Train loss 0.71310892, Learning Rate 1.000e-05, It/sec 4.151, Tokens/sec 136.989, Trained Tokens 20790, Peak mem 3.481 GB
Iter 640: Train loss 0.71286898, Learning Rate 1.000e-05, It/sec 3.937, Tokens/sec 129.919, Trained Tokens 21120, Peak mem 3.481 GB
Iter 650: Train loss 0.71282606, Learning Rate 1.000e-05, It/sec 4.128, Tokens/sec 136.226, Trained Tokens 21450, Peak mem 3.481 GB
Iter 660: Train loss 0.71272960, Learning Rate 1.000e-05, It/sec 4.019, Tokens/sec 132.637, Trained Tokens 21780, Peak mem 3.481 GB
Iter 670: Train loss 0.71258135, Learning Rate 1.000e-05, It/sec 4.025, Tokens/sec 132.830, Trained Tokens 22110, Peak mem 3.481 GB
Iter 680: Train loss 0.71243048, Learning Rate 1.000e-05, It/sec 3.995, Tokens/sec 131.850, Trained Tokens 22440, Peak mem 3.481 GB
Iter 690: Train loss 0.71240749, Learning Rate 1.000e-05, It/sec 4.105, Tokens/sec 135.458, Trained Tokens 22770, Peak mem 3.481 GB
Iter 700: Train loss 0.71220803, Learning Rate 1.000e-05, It/sec 3.955, Tokens/sec 130.509, Trained Tokens 23100, Peak mem 3.481 GB
Iter 710: Train loss 0.71216588, Learning Rate 1.000e-05, It/sec 3.694, Tokens/sec 121.892, Trained Tokens 23430, Peak mem 3.481 GB
Iter 720: Train loss 0.71205816, Learning Rate 1.000e-05, It/sec 3.697, Tokens/sec 122.002, Trained Tokens 23760, Peak mem 3.481 GB
Iter 730: Train loss 0.71199989, Learning Rate 1.000e-05, It/sec 4.045, Tokens/sec 133.496, Trained Tokens 24090, Peak mem 3.481 GB
Iter 740: Train loss 0.71195016, Learning Rate 1.000e-05, It/sec 3.806, Tokens/sec 125.593, Trained Tokens 24420, Peak mem 3.481 GB
Iter 750: Train loss 0.71189756, Learning Rate 1.000e-05, It/sec 4.126, Tokens/sec 136.158, Trained Tokens 24750, Peak mem 3.481 GB
Iter 760: Train loss 0.71174850, Learning Rate 1.000e-05, It/sec 3.901, Tokens/sec 128.740, Trained Tokens 25080, Peak mem 3.481 GB
Iter 770: Train loss 0.71161146, Learning Rate 1.000e-05, It/sec 3.957, Tokens/sec 130.570, Trained Tokens 25410, Peak mem 3.481 GB
